Cost,LocalSearch?
7029.52814906,False
6025.12814906,False
5223.92814906,False
4682.76303651,False
4416.28490605,False
4243.408172,False
4089.71143795,False
3944.1040057,False
3806.58587523,False
3669.06774477,False
3513.6389161,False
3381.20869101,False
3267.95846592,False
3170.88684442,False
3065.72592112,False
2957.56360141,False
2857.49058349,False
2784.68686736,False
2703.79384944,False
2639.0794351,False
2574.36502077,False
2509.65060643,False
2456.82549389,False
2404.48968314,False
2361.33247597,False
2355.08596701,False
2314.63945805,False
2278.48225088,False
2238.8343455,False
2206.47713834,False
2166.03062938,False
2125.58412042,False
2093.22691325,False
2060.86970608,False
2028.51249891,False
1996.15529174,False
1948.1710243,False
1915.81381713,False
1901.21632747,False
1861.2591203,False
1849.79128639,False
1817.43407922,False
1815.83601786,False
1782.86222057,False
